id,key,value,type
172742928,highway,turning_circle,regular
172747522,highway,turning_circle,regular
172747794,highway,turning_circle,regular
172748153,highway,turning_circle,regular
172748175,highway,turning_circle,regular
172748324,highway,turning_circle,regular
172752213,highway,turning_circle,regular
172755028,junction,roundabout,regular
172755441,railway,level_crossing,regular
172757096,highway,turning_circle,regular
172759377,highway,turning_loop,regular
172759971,highway,turning_circle,regular
172759985,highway,turning_circle,regular
172760279,highway,turning_circle,regular
172762117,highway,turning_circle,regular
172762291,highway,turning_loop,regular
172762344,highway,turning_circle,regular
172762388,highway,turning_circle,regular
172763761,highway,turning_circle,regular
172763822,highway,turning_circle,regular
172764047,highway,turning_circle,regular
172765097,highway,turning_circle,regular
172768090,railway,level_crossing,regular
172768985,highway,turning_circle,regular
172770271,highway,turning_circle,regular
172770547,highway,turning_circle,regular
172773429,highway,turning_circle,regular
172773429,source,yahoo,regular
172773461,highway,turning_circle,regular
172774265,highway,turning_circle,regular
172774500,highway,turning_circle,regular
172774509,highway,turning_circle,regular
172774918,highway,turning_circle,regular
172778916,highway,turning_circle,regular
172779415,highway,turning_circle,regular
172783619,highway,traffic_signals,regular
172784588,highway,turning_circle,regular
172784588,source,yahoo,regular
172785545,highway,traffic_signals,regular
172785665,railway,level_crossing,regular
172786155,highway,traffic_signals,regular
172786166,highway,traffic_signals,regular
172786298,highway,traffic_signals,regular
172786387,highway,traffic_signals,regular
172789529,highway,turning_circle,regular
172791058,highway,turning_circle,regular
172791186,highway,turning_circle,regular
172797589,railway,level_crossing,regular
172797791,highway,turning_circle,regular
172798466,highway,turning_circle,regular
172798488,highway,turning_circle,regular
172798730,highway,turning_circle,regular
172798730,source,yahoo,regular
172800758,highway,turning_circle,regular
172800946,highway,turning_circle,regular
172801757,highway,turning_circle,regular
172803583,highway,turning_circle,regular
172806765,highway,turning_circle,regular
172807402,highway,turning_circle,regular
172809155,highway,turning_circle,regular
172809195,highway,turning_circle,regular
172809207,highway,turning_circle,regular
172811573,highway,turning_circle,regular
172811760,highway,traffic_signals,regular
172812292,highway,motorway_junction,regular
172812292,ref,3A,regular
172812856,highway,motorway_junction,regular
172812856,ref,1E,regular
172813869,highway,turning_circle,regular
172814228,highway,turning_circle,regular
172816219,highway,turning_circle,regular
172816728,railway,level_crossing,regular
172817196,highway,turning_circle,regular
172817888,highway,turning_circle,regular
172819580,highway,turning_circle,regular
172819923,highway,turning_circle,regular
172821061,highway,traffic_signals,regular
172821081,highway,traffic_signals,regular
172821872,highway,turning_circle,regular
172823880,railway,level_crossing,regular
172826816,highway,turning_circle,regular
172828389,highway,turning_circle,regular
172831404,highway,turning_circle,regular
172832405,highway,turning_circle,regular
172834831,highway,turning_circle,regular
172835056,highway,turning_circle,regular
172835504,highway,turning_circle,regular
172836223,highway,turning_circle,regular
172838972,highway,turning_circle,regular
172839027,highway,turning_circle,regular
172844854,highway,turning_circle,regular
172844981,highway,turning_circle,regular
172847608,highway,turning_circle,regular
172848338,highway,turning_circle,regular
172848681,highway,turning_circle,regular
172848895,highway,turning_circle,regular
172851742,highway,turning_circle,regular
172851777,highway,turning_circle,regular
172851954,highway,turning_circle,regular
172852723,highway,turning_circle,regular
172852723,source,yahoo,regular
172853147,highway,turning_circle,regular
172854454,highway,turning_circle,regular
172855951,highway,turning_circle,regular
172856361,highway,turning_circle,regular
172856922,highway,turning_circle,regular
172858979,railway,level_crossing,regular
172859244,highway,turning_circle,regular
172862217,highway,turning_circle,regular
172862677,highway,turning_circle,regular
172862677,source,yahoo,regular
172862958,highway,turning_circle,regular
172864466,highway,turning_circle,regular
172865536,highway,turning_circle,regular
172865536,source,yahoo,regular
172865851,highway,turning_circle,regular
172867234,highway,turning_circle,regular
172868905,highway,turning_circle,regular
172869382,highway,turning_circle,regular
172870620,highway,turning_circle,regular
172870630,highway,turning_circle,regular
172876449,railway,level_crossing,regular
172876743,railway,level_crossing,regular
172878714,highway,turning_circle,regular
172878847,highway,turning_circle,regular
172878847,source,yahoo,regular
172879206,highway,turning_circle,regular
172879206,source,yahoo,regular
172879862,highway,turning_circle,regular
172883577,highway,turning_circle,regular
172884728,highway,turning_circle,regular
172885210,highway,turning_circle,regular
172885241,highway,turning_circle,regular
172885458,highway,turning_circle,regular
172889289,highway,turning_circle,regular
172889675,highway,turning_circle,regular
172890729,highway,turning_circle,regular
172890900,highway,turning_circle,regular
172893389,highway,turning_circle,regular
172893389,source,yahoo,regular
172894148,highway,turning_circle,regular
172894244,highway,turning_circle,regular
172894574,highway,turning_circle,regular
172895977,highway,turning_circle,regular
172896121,highway,turning_circle,regular
172896338,highway,turning_circle,regular
172897055,highway,turning_circle,regular
172899349,highway,turning_circle,regular
172900539,highway,turning_circle,regular
172900591,highway,turning_circle,regular
172901545,highway,turning_circle,regular
172902426,highway,turning_circle,regular
172902426,source,yahoo,regular
172902439,highway,turning_circle,regular
172902439,source,yahoo,regular
172903482,highway,turning_circle,regular
172904196,highway,turning_circle,regular
172904210,highway,turning_circle,regular
172905220,highway,turning_circle,regular
172906045,highway,turning_circle,regular
172906488,highway,turning_circle,regular
172906537,highway,turning_circle,regular
172906805,highway,turning_circle,regular
195280924,railway,level_crossing,regular
195280966,railway,level_crossing,regular
195280992,railway,level_crossing,regular
195281017,railway,level_crossing,regular
195281050,railway,level_crossing,regular
195281052,railway,level_crossing,regular
195281058,railway,level_crossing,regular
195281167,railway,level_crossing,regular
195283640,railway,level_crossing,regular
195287179,railway,level_crossing,regular
195296087,railway,level_crossing,regular
195306189,railway,level_crossing,regular
195360675,railway,level_crossing,regular
195361265,railway,level_crossing,regular
195375021,railway,level_crossing,regular
357767065,ele,205,regular
357767065,county_id,119,gnis
357767065,created,06/17/1980,gnis
357767065,feature_id,980093,gnis
357767065,state_id,37,gnis
357767065,leisure,park,regular
357767065,name,Alexander Street Park,regular
357767181,amenity,place_of_worship,regular
357767181,ele,241,regular
357767181,county_id,119,gnis
357767181,created,06/17/1980,gnis
357767181,feature_id,980164,gnis
357767181,state_id,37,gnis
357767181,name,Amity Church,regular
357767181,religion,christian,regular
357767768,amenity,school,regular
357767768,ele,195,regular
357767768,county_id,119,gnis
357767768,created,01/01/2000,gnis
357767768,feature_id,980586,gnis
357767768,state_id,37,gnis
357767768,name,Barringer Elementary School,regular
357770260,amenity,place_of_worship,regular
357770260,ele,222,regular
357770260,county_id,119,gnis
357770260,created,06/17/1980,gnis
